Date,Asset,Price
01-01-2024,bitcoin,31719
02-01-2024,bitcoin,31718
03-01-2024,bitcoin,
04-01-2024,bitcoin,32314
05-01-2024,bitcoin,34045
06-01-2024,bitcoin,30773
07-01-2024,bitcoin,32817
08-01-2024,bitcoin,30991
09-01-2024,bitcoin,39100
10-01-2024,bitcoin,32721
11-01-2024,bitcoin,38717
12-01-2024,bitcoin,37425
13-01-2024,bitcoin,34786
14-01-2024,bitcoin,34904
15-01-2024,bitcoin,36463
16-01-2024,bitcoin,34427
17-01-2024,bitcoin,32973
18-01-2024,bitcoin,39461
19-01-2024,bitcoin,31725
20-01-2024,bitcoin,32787
21-01-2024,bitcoin,39748
22-01-2024,bitcoin,34896
23-01-2024,bitcoin,38667
24-01-2024,bitcoin,30112
25-01-2024,bitcoin,35964
26-01-2024,bitcoin,31436
27-01-2024,bitcoin,35361
28-01-2024,bitcoin,34776
29-01-2024,bitcoin,
30-01-2024,bitcoin,39542
31-01-2024,bitcoin,32945
01-02-2024,bitcoin,36121
02-02-2024,bitcoin,39027
01-01-2024,gold,52062
02-01-2024,gold,51442
03-01-2024,gold,57976
04-01-2024,gold,59863
05-01-2024,gold,50859
06-01-2024,gold,57359
07-01-2024,gold,59351
08-01-2024,gold,58808
09-01-2024,gold,57116
10-01-2024,gold,57497
11-01-2024,gold,56361
12-01-2024,gold,51829
13-01-2024,gold,50005
14-01-2024,gold,57031
15-01-2024,gold,56267
16-01-2024,gold,53877
17-01-2024,gold,59340
18-01-2024,gold,55335
19-01-2024,gold,52051
20-01-2024,gold,55231
21-01-2024,gold,51005
22-01-2024,gold,53857
23-01-2024,gold,59670
24-01-2024,gold,55681
25-01-2024,gold,52832
26-01-2024,gold,53451
27-01-2024,gold,57134
28-01-2024,gold,56575
29-01-2024,gold,55913
30-01-2024,gold,52486
31-01-2024,gold,51172
01-02-2024,gold,54788
02-02-2024,gold,50343
01-01-2024,nifty,18309
02-01-2024,nifty,18936
03-01-2024,nifty,19464
04-01-2024,nifty,19457
05-01-2024,nifty,18040
06-01-2024,nifty,19485
07-01-2024,nifty,19444
08-01-2024,nifty,19225
09-01-2024,nifty,19653
10-01-2024,nifty,19159
11-01-2024,nifty,19768
12-01-2024,nifty,19616
13-01-2024,nifty,19318
14-01-2024,nifty,19700
15-01-2024,nifty,19892
16-01-2024,nifty,18143
17-01-2024,nifty,19468
18-01-2024,nifty,19422
19-01-2024,nifty,18415
20-01-2024,nifty,18358
21-01-2024,nifty,18487
22-01-2024,nifty,19908
23-01-2024,nifty,18508
24-01-2024,nifty,19724
25-01-2024,nifty,18796
26-01-2024,nifty,
27-01-2024,nifty,18292
28-01-2024,nifty,19064
29-01-2024,nifty,19219
30-01-2024,nifty,19328
31-01-2024,nifty,19202
01-02-2024,nifty,19304
02-02-2024,nifty,18769
03-02-2024,nifty,19814
